id;initial;pref1;pref2;textP1;textP2;pref;textenP1;textenP2;valueP11;valueP12;nextSt1;nextSt2;valueP21;valueP22;refMBTIQ
0;DP1;e;i;Solicitas que a popula‡„o se re£na para discutir sobre esta amea‡a.;Solicitas convocar o conselho para discutir a‡”es a serem tomadas.;ei;You ask the people to gather and discuss the threat;You summon the council to discuss the course of action;0,58;0,05;1;29;0,42;0,95;1
1;DG1;l;r;A amea‡a ‚ verdadeira.;A amea‡a pode ser verdadeira.;-0;The threat<ANIMATE(Fear3)> is true;The threat<ANIMATE(Fear1)> might be true;1,00;0,00;2;2;0,00;1,00;0
2;DP2;t;f;A amea‡a foi algo inusitado mas n„o precisam se preocupar. Por isso, convido a todos para um baile.;Foi algo inesperado, mas o pa¡s est  preparado! Solicito para que todos sigam com o seu quotidiano.;tf;The threat was only a rumor <ANIMATE(Joy1)>and they don't need to worry. So you invite everyone to a ball;It was something unexpected, but the country is prepared! You ask everyone to follow their normal lives;0,80;0,29;3;34;0,19;0,71;18
3;DG2;l;r;Resolve fazer o discurso no in¡cio do baile.;Resolve fazer o discurso no final do baile.;-0;Make the speech at the beginning of the ball;Make the speech at the end of the ball;1,00;0,00;4;4;0,00;1,00;0
4;DP3;e;i;Explicas tuas ideias e em seguida solicitas a opini„o dos conselheiros.;Lˆ suas anota‡”es e solicitas ao conselho que delibere.;ei;Explain your ideas and solicit the opinion of your counselors;Read your notes and ask the council to deliberate;0,71;0,33;31;48;0,29;0,67;22
5;DP4;e;i;Dan‡as a noite inteira interagindo com todos, demonstrando que est  tudo sob controle.;A meio do baile recolhes-te para pensar nas pr¢ximas estrat‚gias.;ei;Dance all night<ANIMATE(Joy1)> interacting with everyone, demonstrating everything is under control<ANIMATE(Wink)>;Withdraw yourself during the ball to think on your next strategy;0,95;0,51;5;35;0,05;0,49;36
6;DP5;e;i;Busca novos aliados que trar„o novas vis”es estrat‚gicas.;Solicita ajuda aos antigos aliados, pois as estrat‚gias j  s„o conhecidas.;ei;Gather new allies that will bring new strategies.<ANIMATE(Wink)>;Gather your previous allies since their strategies are already known to you;0,16;0,02;31;31;0,84;0,98;43
7;DP6;e;i;Solicitas para que essa pessoa entre e diga pessoalmente a informa‡„o.;Solicitas que um conselheiro ou‡a as informa‡”es e passe para todos sem deixar a pessoa entrar.;ei;<ANIMATE(Surprise1) >You ask for that person to enter and share their information;You ask the counselor to obtain the information and share with everyone without letting the person enter the room.;0,86;0,17;32;54;0,14;0,83;50
8;DP7;f;t;Envias um mensageiro com um convite para que o outro l¡der venha te visitar.;Mandas preparar as tuas defesas.;ft;Send a messenger with an invitation for the enemy's leader;<ANIMATE(Disgust1)>Order the preparation of the defenses;0,39;0,85;6;57;0,61;0,15;33
9;DG3;l;r;Refor‡ar as paredes.;Refor‡ar o port„o de entrada.;-0;Reinforce the walls;Reinforce the main gate;1,00;0,00;9;9;0,00;1,00;0
13;DP10;t;f;Aguardas pacientemente, sabendo que nalgum momento ir  terminar o assunto.;Interrompes a conversa dele e solicitas explica‡”es sobre a amea‡a de invas„o!;tf;Wait patiently, knowing that he will finish soon;<ANIMATE(Anger1)>Interrupt the conversation and ask about the invasion;0,61;0,15;10;11;0,39;0,85;33
14;DP11;j;p;percebendo a t tica dele, cortas a conversa imediatamente.;resolves deixa-lo ficar falando sem que saiba que j  entendeste a sua t tica.;jp;<ANIMATE(Surprise1)>Realizing his tactic you stop the conversation <ANIMATE(Anger2)>immediately;You let him speak without him<ANIMATE(Wink)> knowing that you understood his tactic;0,79;0,28;11;58;0,21;0,72;20
15;DG5;l;r;Cruzas os bra‡os.;Finges que n„o ouviu.;-0;Cross your arms;Pretend you didn't listen;1,00;0,00;12;12;0,00;1,00;0
