Id;Favor;Against
0;Esta é a melhor decisão a ser tomada. ;Acredito que a outra decisão é melhor.
1;Estás a fazer um ótimo trabalho como líder.;A tua liderança não está sendo boa.
2;Eu gosto desta decisão.;Eu não gosto desta decisão.
3;Posso dizer que estás trabalhando forte nisto.;Acredito que não estás se esforçando o suficiente.
4;Mantenhas essas decisões.;Tens que mudar de decisão.
5;Estou de acordo com esta decisão.;Não estou de acordo com esta decisão.
6;Entendo seu ponto de vista e concordo.;Não entendo esta intenção e não concordo.
7;Isto definitivamente irá ajudar a população;Esta decisão não irá ajudar a população.
8;Eu completamente concordo contigo.;Não concordo de forma nenhuma contigo.
9;Explendido. Com esta decisão vais salvar a população.;Errado. Com esta decisão a população irá ficar prejudicada.
10;Brilhante. Não espero outra decisão.;Horrível. A outra decisão é melhor.
11;Pessoalmente, esta é a minha decisão favorita.;Pessoalmente, prefiro a outra decisão.
12;Esta decisão está completamente correta.;Esta decisão está completamente incorreta.
13;Eu recomendo fortemente a confirmar esta decisão.;Recomendo escolher a outra decisão.
