id;initial;pref;pref1;pref2;textP1;textP2;textP22;textP3;valueP11;valueP12;nextSt1;nextSt2;valueP21;valueP22;refMBTIQ;phraseAgainstPref1_PT;phraseAgainstPref2_PT;phraseFavour_PT;phraseAgainstPref1_EN;phraseAgainstPref2_EN;phraseFavour_EN
0;DP1;ei;e;i;Solicitas que a população se reúna para discutir sobre esta ameaça.;Solicitas convocar o conselho para discutir ações a serem tomadas.;You ask the people to gather and discuss the threat.;You summon the council to discuss the course of action.;0.58;0.05;1;20;0.42;0.95;1;Acredito que irás ficar muito exposto.;Acredito que deverias falar ao público eles precisam saber.;Esta é a melhor decisão a ser tomada. ;Acredito que irás ficar muito exposto.;Acredito que deverias falar ao público eles precisam saber.;This is the best decision to be taken.
1;DG1;-;l;r;A ameaça é verdadeira.;A ameaça pode ser verdadeira.;The threat is true.;The threat might be true.;1;0;2;2;0;1;0;Não deverias assustar o povo.;Não deverias assustar o povo.;Estás a fazer um ótimo trabalho como líder.;Não deverias assustar o povo.;Não deverias assustar o povo.;You are doing a great job as leader.
2;DP2;ft;f;t;A ameaça foi algo inusitado mas não precisam se preocupar. Por isso, convido a todos para um baile.;Foi algo inesperado, mas o país está preparado! Solicito para que todos sigam com o seu quotidiano.;The threat was only a rumor and they don’t need to worry. So you invite everyone to a ball.;It was something unexpected, but the country is prepared! You ask everyone to follow their normal lives.;0.72;0.22;3;25;0.27;0.77;18;Aconselho que não é o momento para um baile e sim preparar-se para uma batalha.;Aconselho a organizar o baile para o povo ficar mais unido.;Eu gosto desta decisão.;Aconselho que não é o momento para um baile e sim preparar-se para uma batalha.;Aconselho a organizar o baile para o povo ficar mais unido.;I like this decision.
3;DG2;-;l;r;Resolve fazer o discurso no início do baile.;Resolve fazer o discurso no final do baile.;Make the speech at the beginning of the ball.;Make the speech at the end of the ball.;1;0;4;4;0;1;0;Não aconselho o discurso no início pois pode estragar o baile.;Um discurso no final pode estragar o efeito feliz do baile.;Posso dizer que estás trabalhando forte nisto.;Não aconselho o discurso no início pois pode estragar o baile.;Um discurso no final pode estragar o efeito feliz do baile.;I can say that you are working hard on this.
4;DP3;ei;e;i;Explicas tuas ideias e em seguida solicitas a opinião dos conselheiros.;Aguarda que o conselho delibere e informe.;Explain your ideas and solicit the opinion of your counselors.;Wait for the council to deliberate and inform.;0.92;0.47;22;31;0.08;0.5;19;Acredito que ao falar primeiro podes influenciar os teus conselheiros.;Acredito que deverias falar primeiro que todos para saberem a sua opinião.;Mantenhas essas decisões.;Acredito que ao falar primeiro podes influenciar os teus conselheiros.;Acredito que deverias falar primeiro que todos para saberem a sua opinião.;Keep these decisions.
5;DP4;ei;e;i;Danças a noite inteira interagindo com todos, demonstrando que está tudo sob controle. ;A meio do baile recolhes-te para pensar nas próximas estratégias.;Dance all night interacting with everyone, demonstrating everything is under control.;Withdraw yourself during the ball to think on your next strategy.;0.95;0.51;5;26;0.05;0.49;36;Não deverias se expor tanto e deverias se retirar do baile.;Acredito que deverias falar com todos no baile para mostrar tranquilidade.;Estou de acordo com esta decisão.;Não deverias se expor tanto e deverias se retirar do baile.;Acredito que deverias falar com todos no baile para mostrar tranquilidade.;I agree with this decision.
6;DP5;ei;e;i;Busca novos aliados que trarão novas visões estratégicas.;Solicita ajuda aos antigos aliados, pois as estratégias já são conhecidas.;Gather new allies that will bring new strategies.;Gather your previous allies since their strategies are already known to you.;0.16;0.02;22;22;0.84;0.98;43;Acredito que deverias conversar apenas com os nossos antigos aliados.;Acredito que conversar com novos aliados trará novas ideias.;Entendo seu ponto de vista e concordo.;Acredito que deverias conversar apenas com os nossos antigos aliados.;Acredito que conversar com novos aliados trará novas ideias.;I understand your point of view and agree with it.
7;DP6;ei;e;i;Solicitas para que essa pessoa entre e diga pessoalmente a informação. ;Solicitas que um conselheiro ouça as informações e passe para todos sem deixar a pessoa entrar.;You ask for that person to enter and share their information.;You ask the counselor to obtain the information and share with everyone without letting the person enter the room.;0.86;0.17;23;33;0.14;0.83;50;Não aconselho que alguém desconhecido entre.;Aconselho que conheças essa pessoa.;Eu completamente concordo contigo.;Não aconselho que alguém desconhecido entre.;Aconselho que conheças essa pessoa.;Definitely, this will help people.
8;DP7;ft;f;t;Envias um mensageiro com um convite para que o outro líder venha te visitar.;Mandas preparar as tuas defesas.;Send a messenger with an invitation for the enemy's leader.;Order the preparation of the defenses.;0.85;0.39;6;34;0.15;0.61;33;Acredito que não é o momento de interagir com o adversário.;Acredito que deves tentar ganhar a confiança do adversário convidando-o.;Explendido. Com esta decisão vais salvar a população.;Acredito que não é o momento de interagir com o adversário.;Acredito que deves tentar ganhar a confiança do adversário convidando-o.;I completely agree with you.
9;DG3;-;l;r;Reforçar as paredes.;Reforçar o portão de entrada.;Reinforce the walls.;Reinforce the main gate.;1;0;7;7;0;1;0;O portão é mais importante.;As paredes são mais importantes.;Brilhante. Não espero outra decisão.;O portão é mais importante.;As paredes são mais importantes.;Brilliant. I did not expect another decision.
10;DP10;ft;f;t;Aguardas pacientemente, sabendo que nalgum momento irá terminar o assunto.;Interrompes a conversa dele e solicitas explicações sobre a ameaça de invasão!;Wait patiently, knowing that he will finish soon.;Interrupt the conversation and ask about the invasion.;0.84;0.41;8;9;0.17;0.58;33;Aconselho solicitar explicações imediatamente.;Deverias ser mais gentil e aguardar o adversário terminar de falar.;Pessoalmente, esta é a minha decisão favorita.;Aconselho solicitar explicações imediatamente.;Deverias ser mais gentil e aguardar o adversário terminar de falar.;Personally, this is my favourite decision.
11;DP11;jp;j;p;percebendo a tática dele,  cortas a conversa imediatamente.;resolves deixa-lo ficar falando sem que saibas que já entendestes a tática dele.;Realizing his tactic you stop the conversation immediately.;You let him speak without him knowing that you understood his tactic.;0.79;0.28;9;35;0.21;0.72;20;Aconselho deixá-lo falar enquanto tentamos melhor perceber a tatica dele.;Acredito que deves imediatamente fazer ele parar de falar.;Esta decisão está completamente correta.;Aconselho deixá-lo falar enquanto tentamos melhor perceber a tatica dele.;Acredito que deves imediatamente fazer ele parar de falar.;This decision is correct.
12;DG5;-;l;r;Cruzas os braços.;Finges que não ouviu.;Cross your arms.;Pretend you didn’t listen.;1;0;10;10;0;1;0;Aconselho não ser rude neste momento.;Aconselho não ser rude neste momento.;Eu recomendo fortemente a confirmar esta decisão.;Aconselho não ser rude neste momento.;Aconselho não ser rude neste momento.;I strongly advise confirming this decision.
13;DP12;jp;j;p;Pensas em usar a defesa que tens, pois aumentar o teu contingênte pode ter um gasto imenso para o teu país e a população será afetada.;Acreditas que deves mandar construir armas e treinar novos militares.;You use the defenses you have because increasing your army’s size will bring huge expenses that will affect your population.;You decide to build more weapons and train more troops.;0.73;0.23;39;39;0.27;0.77;7;Recomendo agir rapidamente precisamos de militares urgente.;Deves pensar melhor nesta intenção, pois a população pode ser afetada.;Isto definitivamente irá ajudar a população;Recomendo agir rapidamente precisamos de militares urgente.;Deves pensar melhor nesta intenção, pois a população pode ser afetada.;Wonderful. With this decision, you will save the people.
14;DP18;sn;s;n;enviar um grupo de soldados para defender o acesso principal.;que não dá tempo para proteger o acesso. Por isso, pensas em surpreender o inimígo.;send a group of soldier to defend the main acess.;you believe there is no time to defend the main access. So, you think in to get the enemy surprised.;0.83;0.27;12;12;0.17;0.73;58;Minha intuição diz que não há tempo para defender o acesso principal.;Aconselho a enviar imediatamente soldados para defender o acesso.;Isto definitivamente irá ajudar a população;Minha intuição diz que não há tempo para defender o acesso principal.;Aconselho a enviar imediatamente soldados para defender o acesso.;Wonderful. With this decision, you will save the people.
15;DP35;tf;t;f;neste momento isto não importa.;as bandeiras são um símbolo de patriotismo pelo qual precisamos.;this moment this doesn't matter.;the flags are a symbol of patriotism that we need.;0.92;0.47;13;13;0.08;0.5;19;O sentimento de patriotismo é importante para incentivar o povo.;Não precisamos de símbolos, mas de ações.;Estás a fazer um ótimo trabalho como líder.;O sentimento de patriotismo é importante para incentivar o povo.;Não precisamos de símbolos, mas de ações.;You are doing a great job as leader.
16;DP25;sn;s;n;achas muito improvável que o inimigo tenha perdido tanta força em apenas um ataque.;acreditas no teu mensageiro e sabes que agora o inimigo está mais fraco.;You believe it's unlikely that the enemy has lost much strength from just one attack.;You believe in your messenger and you know your enemy has weakened.;0.9;0.3;14;14;0.1;0.69;2;Acredito que o mensageiro passou a informação correta.;Sinto que o inimigo não perdeu tanta força como informa o mensageiro.;Eu gosto desta decisão.;Acredito que o mensageiro passou a informação correta.;Sinto que o inimigo não perdeu tanta força como informa o mensageiro.;I like this decision.
17;DP26;jp;j;p;aproveitas esta trégua para planejar uma nova ofensiva.;acreditas que este é o momento que estavas esperando para acabar com o inimigo.;Use the truce to plan your next offensive.;This is the moment you were waiting for to finish the enemy.;0.6;0.21;15;36;0.4;0.79;62;Aconselho a enviar uma tropa para o ataque.;Acredito que deves pensar no nosso exército e deixa-lo descansar.;Posso dizer que estás trabalhando forte nisto.;Aconselho a enviar uma tropa para o ataque.;Acredito que deves pensar no nosso exército e deixa-lo descansar.;I can say that you are working hard on this.
